TIME,DEPTH
53.0771,249.542
53.0871,249.542
53.0971,249.542
53.1071,249.542
53.1171,249.542
53.1271,249.542
53.1371,249.542
53.1471,249.542
53.1571,249.542
53.1671,249.542
53.1771,249.542
53.1871,249.542
53.1971,249.542
53.2071,249.542
53.2171,249.542
53.2271,249.542
53.2371,249.542
53.2471,249.541
53.2571,249.541
53.2671,249.541
53.2771,249.541
53.2871,249.541
53.2971,249.541
53.3071,249.541
53.3171,249.541
53.3271,249.541
53.3371,249.541
53.3471,249.541
53.3571,249.541
53.3671,249.541
53.377,249.541
53.387,249.541
53.397,249.541
53.407,249.541
53.417,249.541
53.427,249.541
53.437,249.541
53.447,249.54
53.457,249.54
53.467,249.54
53.477,249.54
53.487,249.54
53.497,249.54
53.507,249.54
53.517,249.54
53.527,249.54
53.537,249.54
53.547,249.54
53.557,249.54
53.567,249.54
53.577,249.54
53.587,249.54
53.597,249.54
53.607,249.54
53.617,249.54
53.627,249.54
53.637,249.54
53.647,249.54
53.657,249.54
53.667,249.54
53.677,249.54
53.687,249.54
53.697,249.54
53.707,249.54
53.717,249.54
53.727,249.54
53.737,249.54
53.747,249.539
53.757,249.539
53.767,249.539
53.777,249.539
53.787,249.539
53.797,249.539
53.807,249.539
53.817,249.539
53.827,249.539
53.837,249.539
53.847,249.539
53.857,249.539
53.867,249.539
53.877,249.539
53.887,249.539
53.897,249.539
53.907,249.539
53.917,249.539
53.927,249.539
53.937,249.539
53.947,249.539
53.957,249.539
53.9669,249.539
53.9769,249.539
53.9869,249.539
53.9969,249.539
54.0069,249.539
54.0169,249.539
54.0269,249.539
54.0369,249.539
54.0469,249.538
54.0569,249.538
54.0669,249.538
54.0769,249.538
54.0869,249.538
54.0969,249.538
54.1069,249.538
54.1169,249.538
54.1269,249.538
54.1369,249.538
54.1469,249.538
54.1569,249.538
54.1669,249.538
54.1769,249.538
54.1869,249.538
54.1969,249.538
54.2069,249.538
54.2169,249.538
54.2269,249.538
54.2369,249.538
54.2469,249.537
54.2569,249.537
54.2669,249.537
54.2769,249.537
54.2869,249.537
54.2969,249.537
54.3069,249.537
54.3169,249.537
54.3269,249.537
54.3369,249.537
54.3469,249.537
54.3569,249.537
54.3669,249.537
54.3769,249.537
54.3869,249.537
54.3969,249.537
54.4069,249.537
54.4169,249.537
54.4269,249.537
54.4369,249.537
54.4469,249.537
54.4569,249.537
54.4669,249.537
54.4769,249.537
54.4869,249.537
54.4969,249.537
54.5069,249.537
54.5169,249.537
54.5269,249.537
54.5369,249.537
54.5469,249.536
54.5569,249.536
54.5668,249.536
54.5768,249.536
54.5868,249.536
54.5968,249.536
54.6068,249.536
54.6168,249.536
54.6268,249.536
54.6368,249.536
54.6468,249.536
54.6568,249.536
54.6668,249.536
54.6768,249.536
54.6868,249.536
54.6968,249.536
54.7068,249.536
54.7168,249.536
54.7268,249.536
54.7368,249.536
54.7468,249.536
54.7568,249.536
54.7668,249.536
54.7768,249.536
54.7868,249.536
54.7968,249.536
54.8068,249.536
54.8168,249.536
54.8268,249.536
54.8368,249.536
54.8468,249.536
54.8568,249.536
54.8668,249.536
54.8768,249.536
54.8868,249.536
54.8968,249.536
54.9068,249.536
54.9168,249.536
54.9268,249.536
54.9368,249.536
54.9468,249.535
54.9568,249.535
54.9668,249.535
54.9768,249.535
54.9868,249.535
54.9968,249.535
55.0068,249.535
55.0168,249.535
55.0268,249.535
55.0368,249.535
55.0468,249.535
55.0568,249.535
55.0668,249.535
55.0768,249.535
55.0868,249.535
55.0968,249.535
55.1068,249.535
55.1168,249.535
55.1268,249.535
55.1368,249.535
55.1468,249.535
55.1567,249.535
55.1667,249.535
55.1767,249.535
55.1867,249.535
55.1967,249.535
55.2067,249.535
55.2167,249.535
55.2267,249.535
55.2367,249.535
55.2467,249.534
55.2567,249.534
55.2667,249.534
55.2767,249.534
55.2867,249.534
55.2967,249.534
55.3067,249.534
55.3167,249.534
55.3267,249.534
55.3367,249.534
55.3467,249.534
55.3567,249.534
55.3667,249.534
55.3767,249.534
55.3867,249.534
55.3967,249.534
55.4067,249.534
55.4167,249.534
55.4267,249.534
55.4367,249.534
55.4467,249.534
55.4567,249.534
55.4667,249.534
55.4767,249.534
55.4867,249.534
